==================================================
|  #  |  SYMBOL  |    TYPE    |   VALUE   | LINE |
| 199 |      END |        End |       END |   52 |
| 200 |    PRINT |      Write |     PRINT |   53 |
| 201 |        ( |    LBraket |         ( |   53 |
| 202 |        " |     Quotes |         " |   53 |
| 203 |          |     String |        \n |   53 |
| 204 |        " |     Quotes |         " |   53 |
| 205 |        ) |    RBraket |         ) |   53 |
| 206 |        ; |  Semicolon |         ; |   53 |
| 207 |       IF |         If |        IF |   54 |
| 208 |        ( |    LBraket |         ( |   54 |
| 209 |      NOT |        Not |       NOT |   54 |
| 210 |        ( |    LBraket |         ( |   54 |
| 211 |          | Identifier |       aAA |   54 |
| 212 |        < |       Less |         < |   54 |
| 213 |        ( |    LBraket |         ( |   54 |
| 214 |          | Identifier |       bBB |   54 |
| 215 |      ADD |   Addition |       ADD |   54 |
| 216 |          | Identifier |       cCC |   54 |
| 217 |        ) |    RBraket |         ) |   54 |
| 218 |        ) |    RBraket |         ) |   54 |
| 219 |        ) |    RBraket |         ) |   54 |
| 220 |    BEGIN |      Start |     BEGIN |   55 |
| 221 |    PRINT |      Write |     PRINT |   56 |
| 222 |        ( |    LBraket |         ( |   56 |
| 223 |          |     Number |        10 |   56 |
| 224 |        ) |    RBraket |         ) |   56 |
| 225 |        ; |  Semicolon |         ; |   56 |
| 226 |      END |        End |       END |   57 |
| 227 |     ELSE |       Else |      ELSE |   58 |
| 228 |    BEGIN |      Start |     BEGIN |   59 |
| 229 |    PRINT |      Write |     PRINT |   60 |
| 230 |        ( |    LBraket |         ( |   60 |
| 231 |          |     Number |         0 |   60 |
| 232 |        ) |    RBraket |         ) |   60 |
| 233 |        ; |  Semicolon |         ; |   60 |
| 234 |      END |        End |       END |   61 |
| 235 |      END |        End |       END |   62 |
| 236 |          |  EndOfFile |           |   -1 |
==================================================
