====================================================
|  #  |  SYMBOL  |     TYPE     |   VALUE   | LINE |
| 198 |          |   Identifier |       cCC |   54 |
| 199 |        ) |      RBraket |         ) |   54 |
| 200 |        ) |      RBraket |         ) |   54 |
| 201 |        ) |      RBraket |         ) |   54 |
| 202 |    BEGIN |        Start |     BEGIN |   55 |
| 203 |    PRINT |        Write |     PRINT |   56 |
| 204 |        ( |      LBraket |         ( |   56 |
| 205 |          |       Number |        10 |   56 |
| 206 |        ) |      RBraket |         ) |   56 |
| 207 |        ; |    Semicolon |         ; |   56 |
| 208 |      END |          End |       END |   57 |
| 209 |     ELSE |         Else |      ELSE |   58 |
| 210 |    BEGIN |        Start |     BEGIN |   59 |
| 211 |    PRINT |        Write |     PRINT |   60 |
| 212 |        ( |      LBraket |         ( |   60 |
| 213 |          |       Number |         0 |   60 |
| 214 |        ) |      RBraket |         ) |   60 |
| 215 |        ; |    Semicolon |         ; |   60 |
| 216 |      END |          End |       END |   61 |
| 217 |      END |          End |       END |   62 |
| 218 |          |    EndOfFile |           |   -1 |
====================================================
