====================================================================
|  #  |  SYMBOL  |      TYPE      |          VALUE          | LINE |
| 171 |        ; |      Semicolon |                       ; |   43 |
| 172 |          |     Identifier |                     cC2 |   44 |
| 173 |       <- |     Assignment |                      <- |   44 |
| 174 |          |     Identifier |                     cC2 |   44 |
| 175 |      ADD |       Addition |                     ADD |   44 |
| 176 |          |         Number |                       1 |   44 |
| 177 |        ; |      Semicolon |                       ; |   44 |
| 178 |    UNTIL |          Until |                   UNTIL |   45 |
| 179 |        ( |        LBraket |                       ( |   45 |
| 180 |      NOT |            Not |                     NOT |   45 |
| 181 |        ( |        LBraket |                       ( |   45 |
| 182 |          |     Identifier |                     cC2 |   45 |
| 183 |        > |         Greate |                       > |   45 |
| 184 |          |     Identifier |                     bBB |   45 |
| 185 |        ) |        RBraket |                       ) |   45 |
| 186 |        ) |        RBraket |                       ) |   45 |
| 187 |          |     Identifier |                     cC1 |   46 |
| 188 |       <- |     Assignment |                      <- |   46 |
| 189 |          |     Identifier |                     cC1 |   46 |
| 190 |      ADD |       Addition |                     ADD |   46 |
| 191 |          |         Number |                       1 |   46 |
| 192 |        ; |      Semicolon |                       ; |   46 |
| 193 |    UNTIL |          Until |                   UNTIL |   47 |
| 194 |        ( |        LBraket |                       ( |   47 |
| 195 |      NOT |            Not |                     NOT |   47 |
| 196 |        ( |        LBraket |                       ( |   47 |
| 197 |          |     Identifier |                     cC1 |   47 |
| 198 |        > |         Greate |                       > |   47 |
| 199 |          |     Identifier |                     aAA |   47 |
| 200 |        ) |        RBraket |                       ) |   47 |
| 201 |        ) |        RBraket |                       ) |   47 |
| 202 |    PRINT |          Write |                   PRINT |   48 |
| 203 |        ( |        LBraket |                       ( |   48 |
| 204 |          |     Identifier |                     xXX |   48 |
| 205 |        ) |        RBraket |                       ) |   48 |
| 206 |        ; |      Semicolon |                       ; |   48 |
| 207 |      END |            End |                     END |   50 |
| 208 |          |      EndOfFile |                         |   -1 |
====================================================================
